City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Atmakur,IN,2021-09-22 20:45:59,15.8833,78.5833,74.52,90,100,2.26
260,Williston,US,2021-09-22 20:46:00,48.147,-103.618,84.94,28,2,5.01
261,Victor Harbor,AU,2021-09-22 20:46:00,-35.5667,138.6167,54.81,85,12,13.73
262,Korcula,HR,2021-09-22 20:46:00,42.9622,17.1369,63.16,49,100,10.36
263,Trairi,BR,2021-09-22 20:45:57,-3.2778,-39.2689,79.29,79,86,12.15
264,Namibe,AO,2021-09-22 20:46:01,-15.1961,12.1522,63.45,85,18,4.03
265,Oranjemund,NA,2021-09-22 20:46:02,-28.55,16.4333,65.77,46,30,6.17
266,Ukiah,US,2021-09-22 20:44:25,39.1502,-123.2078,97.12,20,1,3.44
267,Bassila,BJ,2021-09-22 20:46:02,9.0081,1.6654,70.34,95,100,1.97
268,Norman Wells,CA,2021-09-22 20:46:03,65.282,-126.8329,32.04,100,90,16.11
269,Nome,US,2021-09-22 20:46:03,64.5011,-165.4064,37.47,57,1,5.75
270,Koslan,RU,2021-09-22 20:46:04,63.4564,48.8989,36.99,97,22,4.54
271,Port Hedland,AU,2021-09-22 20:46:04,-20.3167,118.5667,75.25,11,100,5.75
272,Sri Aman,MY,2021-09-22 20:46:05,1.2376,111.4621,75.25,100,100,0.0
273,Forst,DE,2021-09-22 20:46:05,51.7333,14.6333,54.79,78,70,5.75
274,Carnarvon,AU,2021-09-22 20:46:05,-24.8667,113.6333,64.47,94,26,6.91
275,George Town,MY,2021-09-22 20:43:14,5.4112,100.3354,79.9,82,20,3.44
276,Juneau,US,2021-09-22 20:45:53,58.3019,-134.4197,46.45,91,90,6.91
277,Saint Anthony,US,2021-09-22 20:41:33,45.0205,-93.218,71.92,43,1,3.0
278,Jiayuguan,CN,2021-09-22 20:46:06,39.8167,98.3,58.55,37,24,3.78
279,Ponta Delgada,PT,2021-09-22 20:46:06,37.7333,-25.6667,70.52,73,20,6.91
280,Vao,NC,2021-09-22 20:46:07,-22.6667,167.4833,67.5,73,74,21.5
281,Chongwe,ZM,2021-09-22 20:46:07,-15.3292,28.682,67.93,44,6,11.7
282,Raga,SS,2021-09-22 20:46:07,8.4596,25.678,72.09,82,18,1.05
283,Muros,ES,2021-09-22 20:46:08,42.7762,-9.0603,65.23,71,1,14.83
284,Velikovechnoye,RU,2021-09-22 20:46:08,44.934,39.755,51.35,72,65,4.21
285,Asau,RO,2021-09-22 20:46:09,46.4333,26.4,48.76,86,100,0.43
286,Novyy Urengoy,RU,2021-09-22 20:45:14,66.0833,76.6333,34.68,83,86,10.89
287,Djambala,CG,2021-09-22 20:46:09,-2.5447,14.7533,74.39,65,100,3.8
288,Statesboro,US,2021-09-22 20:46:10,32.4488,-81.7832,88.25,69,90,8.05
289,Talgar,KZ,2021-09-22 20:46:10,43.3027,77.2395,51.96,35,75,4.47
