City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Luanda,AO,-8.8368,13.2343,75.2,83,40,12.66,scattered clouds
323,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,87,13,2.95,few clouds
324,Todos Santos,MX,23.45,-110.2167,89.67,70,1,10.38,clear sky
325,Victoria,HK,22.2855,114.1577,85.96,85,0,1.99,light rain
326,Gold Coast,AU,-28.0,153.4333,65.25,95,75,1.99,light intensity shower rain
327,Xuddur,SO,4.1213,43.8894,76.62,65,57,17.69,broken clouds
328,Kavaratti,IN,10.5669,72.642,81.05,79,23,14.83,few clouds
329,Durango,MX,24.8333,-104.8333,76.08,33,7,5.86,clear sky
330,Sangin,AF,32.0728,64.8359,79.38,13,0,2.48,clear sky
331,Pringsewu,ID,-5.3582,104.9744,74.26,96,100,3.58,overcast clouds
332,La Ronge,CA,55.1001,-105.2842,57.45,77,75,11.5,broken clouds
333,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,15,0,19.57,clear sky
334,Avanigadda,IN,16.0215,80.9181,78.06,83,33,2.95,scattered clouds
335,Ust-Kalmanka,RU,52.1207,83.305,46.53,80,90,9.4,overcast clouds
336,Donegal,IE,54.65,-8.1167,48.25,86,100,9.64,moderate rain
337,Hutchinson,US,38.0608,-97.9298,85.19,54,75,4.0,broken clouds
338,Korla,CN,41.7597,86.1469,67.93,23,6,9.01,clear sky
339,Salalah,OM,17.0151,54.0924,82.49,89,20,4.61,few clouds
340,Shreveport,US,32.5251,-93.7502,84.42,64,1,6.91,clear sky
341,Demirci,TR,39.0461,28.6589,52.3,74,0,7.74,clear sky
342,Fort Nelson,CA,58.8053,-122.7002,38.79,100,90,2.3,mist
343,Grafton,US,42.207,-71.6856,65.77,57,90,1.01,overcast clouds
344,San Marcos,US,33.1434,-117.1661,79.61,59,1,1.01,clear sky
345,Clyde River,CA,70.4692,-68.5914,32.23,93,90,18.41,overcast clouds
